,model_name,variance_k,normality_k,boruta_flag,vif_k,score,chosen_columns
97,model5_xg,0.0,50.0,1.0,5.0,0.5804496186270574, 10  64 204 338 481
98,model1_lr,0.0,50.0,1.0,5.0,0.516218386190285, 10  64 204 338 481
99,model2_lr,0.0,50.0,1.0,5.0,0.516218386190285, 10  64 204 338 481
100,model3_lr,0.0,50.0,1.0,5.0,0.516218386190285, 10  64 204 338 481
101,model1_svc,0.0,50.0,1.0,5.0,0.5058209554395825, 10  64 204 338 481
102,model2_svc,0.0,50.0,1.0,5.0,0.5058209554395825, 10  64 204 338 481
103,model3_svc,0.0,50.0,1.0,5.0,0.5058209554395825, 10  64 204 338 481
104,model1_ensemble_rfxglr,0.0,50.0,1.0,5.0,0.602368526696106, 10  64 204 338 481
105,model2_ensemble_rflrsvc,0.0,50.0,1.0,5.0,0.5374548374146929, 10  64 204 338 481
106,model3_ensemble_xglrsvc,0.0,50.0,1.0,5.0,0.5584905660377358, 10  64 204 338 481
107,model4_ensemble_rfxgsvc,0.0,50.0,1.0,5.0,0.5822962665596145, 10  64 204 338 481
108,model1_rf,0.0,100.0,1.0,5.0,0.560457647531112, 10 105 128 204
109,model2_rf,0.0,100.0,1.0,5.0,0.5481332798073063, 10 105 128 204
110,model3_rf,0.0,100.0,1.0,5.0,0.5509433962264151, 10 105 128 204
111,model1_xg,0.0,100.0,1.0,5.0,0.5504616619831393, 10 105 128 204
112,model2_xg,0.0,100.0,1.0,5.0,0.5407466880770775, 10 105 128 204
113,model3_xg,0.0,100.0,1.0,5.0,0.5619831393014854, 10 105 128 204
114,model4_xg,0.0,100.0,1.0,5.0,0.5423926134082697, 10 105 128 204
115,model5_xg,0.0,100.0,1.0,5.0,0.5570453633079084, 10 105 128 204
116,model1_lr,0.0,100.0,1.0,5.0,0.5315937374548374, 10 105 128 204
117,model2_lr,0.0,100.0,1.0,5.0,0.5315937374548374, 10 105 128 204
118,model3_lr,0.0,100.0,1.0,5.0,0.5297069450020072, 10 105 128 204
119,model1_svc,0.0,100.0,1.0,5.0,0.5273384183059012, 10 105 128 204
120,model2_svc,0.0,100.0,1.0,5.0,0.5273384183059012, 10 105 128 204
121,model3_svc,0.0,100.0,1.0,5.0,0.5273384183059012, 10 105 128 204
122,model1_ensemble_rfxglr,0.0,100.0,1.0,5.0,0.5521075873143315, 10 105 128 204
123,model2_ensemble_rflrsvc,0.0,100.0,1.0,5.0,0.5436370935367323, 10 105 128 204
124,model3_ensemble_xglrsvc,0.0,100.0,1.0,5.0,0.5355680449618627, 10 105 128 204
125,model4_ensemble_rfxgsvc,0.0,100.0,1.0,5.0,0.5405459654757125, 10 105 128 204
126,model1_rf,5.0,0.0,1.0,5.0,0.569650742673625, 10  48  64 204 318
127,model2_rf,5.0,0.0,1.0,5.0,0.5736250501806504, 10  48  64 204 318
128,model3_rf,5.0,0.0,1.0,5.0,0.5969891609795264, 10  48  64 204 318
129,model1_xg,5.0,0.0,1.0,5.0,0.5873143315937375, 10  48  64 204 318
130,model2_xg,5.0,0.0,1.0,5.0,0.6189080690485749, 10  48  64 204 318
131,model3_xg,5.0,0.0,1.0,5.0,0.6087113608992372, 10  48  64 204 318
132,model4_xg,5.0,0.0,1.0,5.0,0.5862705740666398, 10  48  64 204 318
133,model5_xg,5.0,0.0,1.0,5.0,0.5872340425531914, 10  48  64 204 318
134,model1_lr,5.0,0.0,1.0,5.0,0.588478522681654, 10  48  64 204 318
135,model2_lr,5.0,0.0,1.0,5.0,0.588478522681654, 10  48  64 204 318
136,model3_lr,5.0,0.0,1.0,5.0,0.588478522681654, 10  48  64 204 318
137,model1_svc,5.0,0.0,1.0,5.0,0.5887193898032919, 10  48  64 204 318
138,model2_svc,5.0,0.0,1.0,5.0,0.5887193898032919, 10  48  64 204 318
139,model3_svc,5.0,0.0,1.0,5.0,0.5887193898032919, 10  48  64 204 318
140,model1_ensemble_rfxglr,5.0,0.0,1.0,5.0,0.5882376555600161, 10  48  64 204 318
141,model2_ensemble_rflrsvc,5.0,0.0,1.0,5.0,0.5802087515054195, 10  48  64 204 318
142,model3_ensemble_xglrsvc,5.0,0.0,1.0,5.0,0.5910477719791248, 10  48  64 204 318
143,model4_ensemble_rfxgsvc,5.0,0.0,1.0,5.0,0.5931754315535929, 10  48  64 204 318
144,model1_rf,5.0,5.0,1.0,5.0,0.6183059012444801, 10  48  64 204 453
145,model2_rf,5.0,5.0,1.0,5.0,0.6109193095142513, 10  48  64 204 453
146,model3_rf,5.0,5.0,1.0,5.0,0.6364512244078684, 10  48  64 204 453
147,model1_xg,5.0,5.0,1.0,5.0,0.6239261340826977, 10  48  64 204 453
148,model2_xg,5.0,5.0,1.0,5.0,0.6154154957848254, 10  48  64 204 453
149,model3_xg,5.0,5.0,1.0,5.0,0.5886792452830188, 10  48  64 204 453
150,model4_xg,5.0,5.0,1.0,5.0,0.6119630670413488, 10  48  64 204 453
151,model5_xg,5.0,5.0,1.0,5.0,0.6077880369329587, 10  48  64 204 453
152,model1_lr,5.0,5.0,1.0,5.0,0.5636692091529506, 10  48  64 204 453
153,model2_lr,5.0,5.0,1.0,5.0,0.5617824167001204, 10  48  64 204 453
154,model3_lr,5.0,5.0,1.0,5.0,0.5617824167001204, 10  48  64 204 453
155,model1_svc,5.0,5.0,1.0,5.0,0.5657968687274186, 10  48  64 204 453
156,model2_svc,5.0,5.0,1.0,5.0,0.5657968687274186, 10  48  64 204 453
157,model3_svc,5.0,5.0,1.0,5.0,0.5657968687274186, 10  48  64 204 453
158,model1_ensemble_rfxglr,5.0,5.0,1.0,5.0,0.6160979526294661, 10  48  64 204 453
159,model2_ensemble_rflrsvc,5.0,5.0,1.0,5.0,0.5771577679646729, 10  48  64 204 453
160,model3_ensemble_xglrsvc,5.0,5.0,1.0,5.0,0.6012043356081895, 10  48  64 204 453
161,model4_ensemble_rfxgsvc,5.0,5.0,1.0,5.0,0.6097149739060619, 10  48  64 204 453
162,model1_rf,5.0,15.0,1.0,5.0,0.6323564833400241, 10  64 204 338 453
163,model2_rf,5.0,15.0,1.0,5.0,0.6495383380168607, 10  64 204 338 453
