,lr,n_est,max_depth,m,score,case,standardize
164,0.3,50.0,7.0,60.0,0.9424928726537054,case2,0.0
165,0.3,50.0,7.0,60.0,0.9406688805942697,case2,1.0
166,0.3,60.0,7.0,60.0,0.9428424458449418,case2,0.0
167,0.3,60.0,7.0,60.0,0.9434258181854289,case2,1.0
168,0.3,70.0,7.0,60.0,0.9421595439474212,case2,0.0
169,0.3,70.0,7.0,60.0,0.9423698002617831,case2,1.0
170,0.5,30.0,7.0,60.0,0.9411972821839878,case2,0.0
171,0.5,30.0,7.0,60.0,0.9403822942451905,case2,1.0
172,0.5,40.0,7.0,60.0,0.9431680040306721,case2,0.0
173,0.5,40.0,7.0,60.0,0.9417697012030246,case2,1.0
174,0.5,50.0,7.0,60.0,0.9421691673802262,case2,0.0
175,0.5,50.0,7.0,60.0,0.9429341007870036,case2,1.0
176,0.5,60.0,7.0,60.0,0.9453923017743031,case2,0.0
177,0.5,60.0,7.0,60.0,0.9457525757131042,case2,1.0
178,0.5,70.0,7.0,60.0,0.9447934306646435,case2,0.0
179,0.5,70.0,7.0,60.0,0.9443807693973227,case2,1.0
180,0.1,30.0,5.0,70.0,0.9300977930147709,case3,0.0
181,0.1,30.0,5.0,70.0,0.9309201218588365,case3,1.0
182,0.1,40.0,5.0,70.0,0.9377556965741922,case3,0.0
183,0.1,40.0,5.0,70.0,0.936249383817378,case3,1.0
184,0.1,50.0,5.0,70.0,0.9422982920473706,case3,0.0
185,0.1,50.0,5.0,70.0,0.9415495165636971,case3,1.0
186,0.1,60.0,5.0,70.0,0.9463415382644648,case3,0.0
187,0.1,60.0,5.0,70.0,0.9465373922309223,case3,1.0
188,0.1,70.0,5.0,70.0,0.9489625411625408,case3,0.0
189,0.1,70.0,5.0,70.0,0.9496186842763137,case3,1.0
190,0.3,30.0,5.0,70.0,0.94646659589343,case3,0.0
191,0.3,30.0,5.0,70.0,0.946274723480491,case3,1.0
192,0.3,40.0,5.0,70.0,0.9567078449035428,case3,0.0
193,0.3,40.0,5.0,70.0,0.9568314947081109,case3,1.0
194,0.3,50.0,5.0,70.0,0.9513328097991446,case3,0.0
195,0.3,50.0,5.0,70.0,0.950979230213392,case3,1.0
196,0.3,60.0,5.0,70.0,0.9548766609931197,case3,0.0
197,0.3,60.0,5.0,70.0,0.9548495958298826,case3,1.0
198,0.3,70.0,5.0,70.0,0.9554919649627562,case3,0.0
199,0.3,70.0,5.0,70.0,0.9557729892480717,case3,1.0
200,0.5,30.0,5.0,70.0,0.9440630845982552,case3,0.0
201,0.5,30.0,5.0,70.0,0.9440538579996922,case3,1.0
202,0.5,40.0,5.0,70.0,0.9487919280391219,case3,0.0
203,0.5,40.0,5.0,70.0,0.9484953060781975,case3,1.0
204,0.5,50.0,5.0,70.0,0.9485525047530924,case3,0.0
205,0.5,50.0,5.0,70.0,0.9496262592807568,case3,1.0
206,0.5,60.0,5.0,70.0,0.9513319093388007,case3,0.0
207,0.5,60.0,5.0,70.0,0.9520830884094336,case3,1.0
208,0.5,70.0,5.0,70.0,0.9534881101226682,case3,0.0
209,0.5,70.0,5.0,70.0,0.9535434364327567,case3,1.0
210,0.1,30.0,6.0,70.0,0.9329443497705686,case3,0.0
211,0.1,30.0,6.0,70.0,0.9325718486327921,case3,1.0
212,0.1,40.0,6.0,70.0,0.9370538611925644,case3,0.0
213,0.1,40.0,6.0,70.0,0.9380350180066557,case3,1.0
214,0.1,50.0,6.0,70.0,0.9401629384490965,case3,0.0
215,0.1,50.0,6.0,70.0,0.9417002316423455,case3,1.0
216,0.1,60.0,6.0,70.0,0.9490095904645056,case3,0.0
217,0.1,60.0,6.0,70.0,0.9471845930329605,case3,1.0
218,0.1,70.0,6.0,70.0,0.9457128766265308,case3,0.0
