,lr,n_est,max_depth,m,score,case,standardize
51,0.5,50.0,3.0,5.0,0.6163181178731422,case1,1.0
52,0.5,60.0,3.0,5.0,0.594627192656829,case1,0.0
53,0.5,60.0,3.0,5.0,0.5948034630652764,case1,1.0
54,0.5,70.0,3.0,5.0,0.6081749426628175,case1,0.0
55,0.5,70.0,3.0,5.0,0.6138210316530308,case1,1.0
56,0.05,10.0,4.0,5.0,0.598246399281749,case1,0.0
57,0.05,10.0,4.0,5.0,0.598863836378632,case1,1.0
58,0.05,20.0,4.0,5.0,0.6146930053962252,case1,0.0
59,0.05,20.0,4.0,5.0,0.6146998081173136,case1,1.0
60,0.05,30.0,4.0,5.0,0.6010396751267143,case1,0.0
61,0.05,30.0,4.0,5.0,0.6016706243922211,case1,1.0
62,0.05,40.0,4.0,5.0,0.6248679899478939,case1,0.0
63,0.05,40.0,4.0,5.0,0.6251366968777331,case1,1.0
64,0.05,50.0,4.0,5.0,0.63168617159872,case1,0.0
65,0.05,50.0,4.0,5.0,0.6339417257929534,case1,1.0
66,0.05,60.0,4.0,5.0,0.613906832022138,case1,0.0
67,0.05,60.0,4.0,5.0,0.6145219862153138,case1,1.0
68,0.05,70.0,4.0,5.0,0.6144103739820943,case1,0.0
69,0.05,70.0,4.0,5.0,0.6167816503428952,case1,1.0
70,0.15,10.0,4.0,5.0,0.6092872721414007,case1,0.0
71,0.15,10.0,4.0,5.0,0.6071860076323347,case1,1.0
72,0.15,20.0,4.0,5.0,0.5940117521966073,case1,0.0
73,0.15,20.0,4.0,5.0,0.5892401463467247,case1,1.0
74,0.15,30.0,4.0,5.0,0.6218513281557208,case1,0.0
75,0.15,30.0,4.0,5.0,0.6213432481137418,case1,1.0
76,0.15,40.0,4.0,5.0,0.6282672121213172,case1,0.0
77,0.15,40.0,4.0,5.0,0.6278561745977361,case1,1.0
78,0.15,50.0,4.0,5.0,0.612902489561306,case1,0.0
79,0.15,50.0,4.0,5.0,0.6163488068510217,case1,1.0
80,0.15,60.0,4.0,5.0,0.6291106528521088,case1,0.0
81,0.15,60.0,4.0,5.0,0.6286429225395401,case1,1.0
82,0.15,70.0,4.0,5.0,0.618065704661663,case1,0.0
83,0.15,70.0,4.0,5.0,0.6192583273338295,case1,1.0
84,0.3,10.0,4.0,5.0,0.6186119485381784,case1,0.0
85,0.3,10.0,4.0,5.0,0.6200615076847,case1,1.0
86,0.3,20.0,4.0,5.0,0.6143468669070031,case1,0.0
87,0.3,20.0,4.0,5.0,0.6143419215372031,case1,1.0
88,0.3,30.0,4.0,5.0,0.6141523522514223,case1,0.0
89,0.3,30.0,4.0,5.0,0.6125155527669816,case1,1.0
90,0.3,40.0,4.0,5.0,0.6068462524311573,case1,0.0
91,0.3,40.0,4.0,5.0,0.6124417390692647,case1,1.0
92,0.3,50.0,4.0,5.0,0.6003078214765013,case1,0.0
93,0.3,50.0,4.0,5.0,0.607027808273507,case1,1.0
94,0.3,60.0,4.0,5.0,0.6142574633224556,case1,0.0
95,0.3,60.0,4.0,5.0,0.6149871902561368,case1,1.0
96,0.3,70.0,4.0,5.0,0.6100111768533432,case1,0.0
97,0.3,70.0,4.0,5.0,0.6082436957561139,case1,1.0
98,0.5,10.0,4.0,5.0,0.6190725026659628,case1,0.0
99,0.5,10.0,4.0,5.0,0.6177877698170995,case1,1.0
100,0.5,20.0,4.0,5.0,0.6102570032879052,case1,0.0
101,0.5,20.0,4.0,5.0,0.6078912194175786,case1,1.0
102,0.5,30.0,4.0,5.0,0.5963247246596605,case1,0.0
103,0.5,30.0,4.0,5.0,0.599130604047503,case1,1.0
104,0.5,40.0,4.0,5.0,0.6106496763758403,case1,0.0
105,0.5,40.0,4.0,5.0,0.6097560958063958,case1,1.0
106,0.5,50.0,4.0,5.0,0.5955365711644481,case1,0.0
107,0.5,50.0,4.0,5.0,0.5956501455204033,case1,1.0
108,0.5,60.0,4.0,5.0,0.5957914998759715,case1,0.0
109,0.5,60.0,4.0,5.0,0.5927897378144291,case1,1.0
110,0.5,70.0,4.0,5.0,0.6032294252144539,case1,0.0
111,0.5,70.0,4.0,5.0,0.5993162981866468,case1,1.0
112,0.05,10.0,5.0,5.0,0.6181763308396653,case1,0.0
113,0.05,10.0,5.0,5.0,0.6198241295818038,case1,1.0
114,0.05,20.0,5.0,5.0,0.5940642465886145,case1,0.0
115,0.05,20.0,5.0,5.0,0.5948522121005843,case1,1.0
116,0.05,30.0,5.0,5.0,0.6098035803858035,case1,0.0
117,0.05,30.0,5.0,5.0,0.6112403735498517,case1,1.0
118,0.05,40.0,5.0,5.0,0.6041031548598661,case1,0.0
119,0.05,40.0,5.0,5.0,0.609004812798386,case1,1.0
120,0.05,50.0,5.0,5.0,0.6184044364481289,case1,0.0
121,0.05,50.0,5.0,5.0,0.6170989776825337,case1,1.0
122,0.05,60.0,5.0,5.0,0.6278989801630167,case1,0.0
123,0.05,60.0,5.0,5.0,0.6306366270351214,case1,1.0
124,0.05,70.0,5.0,5.0,0.6189869221653491,case1,0.0
125,0.05,70.0,5.0,5.0,0.619312765429603,case1,1.0
